"","year","name","cluster","avgScore"
"9530","2002","Vietnam: We Were Heroes 1st Cavalry Division Airmobile",241,2.448
"9531","2003","Undefeated",416,2.792
"9532","1989","The Adventures of Milo and Otis",88,3.754
"9533","1996","Sorceress II: The Temptress",531,2.291
"9534","2001","In July",624,3.658
"9535","1941","Irene Dunne Romance Classics: Love Affair/ Penny Serenade",187,3.829
"9536","1985","The Official Story",173,3.707
"9537","2004","The Twins Effect 2",44,2.992
"9538","1986","The Last Days of Patton",367,3.037
"9539","2001","Wit",78,3.867
"9540","1987","The Decalogue",254,3.982
"9541","2003","Denise Austin: Yoga Buns",185,2.526
"9542","2001","Lantana",424,3.351
"9543","1977","Close Encounters of the Third Kind: Bonus Material",297,3.723
"9544","1991","The Doors Collection",138,3.664
"9545","2002","The Adventures of Pluto Nash",88,2.591
"9546","2000","Lucky Numbers",797,2.606
"9547","1986","Troll / Troll 2: Double Feature",13,2.665
"9548","1976","Midway",608,3.863
"9549","2003","The Collected Shorts of Jan Svankmajer: Vol. 1",227,3.512
"9550","1985","Perfect",655,2.278
"9551","1997","Drunks",315,2.923
"9552","1997","I.M. Pei",646,3.828
"9553","2002","And Now ... Ladies and Gentlemen",427,2.749
"9554","2003","The Inspector Lynley Mysteries: Deception on His Mind",8,3.949
"9555","1994","Frank & Jesse",556,3.097
"9556","2003","Rugrats All Grown Up: Lucky 13",24,3.694
"9557","2000","Jesus Christ Superstar: 2000",859,3.084
"9558","1997","Elvis Presley: Great Performances: Vol. 3: From the Waist Up",244,3.376
"9559","2004","Chisholm '72: Unbought and Unbossed",194,3.633
"9560","2000","New World Disorder",671,3.287
"9561","1996","Stories From My Childhood",418,2.622
"9562","2002","Black Mask 2: City of Masks",633,2.532
"9563","1962","Walk on the Wild Side",76,3.139
"9564","1976","Lifeguard",388,2.912
"9565","1982","Rocky III",301,3.596
"9566","1987","Inspector Morse 1: The Dead of Jericho",449,3.962
"9567","1997","Mystery Science Theater 3000: Overdrawn at the Memory Bank",127,3.799
"9568","1933","W.C. Fields",646,2.929
"9569","1988","War and Remembrance: Vol. 2",722,3.86
"9570","2005","Blood Relic",532,1.798
"9571","1960","Flaming Star",493,3.231
"9572","2002","Alanis Morissette: Live in the Navajo Nation",639,2.703
"9573","1944","House of Frankenstein",185,3.47
"9574","2002","Empires: Peter and Paul and the Christian Revolution",187,3.142
"9575","1968","Star!",219,2.991
"9576","1942","To the Shores of Tripoli",194,3.196
"9577","1990","Jeeves and Wooster: Season 4",26,4.007
"9578","1949","Sands of Iwo Jima",751,3.705
"9579","2004","The Hidden Fuhrer: Hitler's Sexuality",368,2.899
"9580","2002","Blue Gate Crossing",407,2.82
"9581","1976","The Jeffersons: Season 2",165,3.703
"9582","1976","I,Claudius",125,3.943
"9583","1960","Chaudhvin Ka Chand",730,3.021
"9584","1997","Billy Joel: Greatest Hits: Vol. 3: The Video",722,3.206
"9585","1973","The Tomorrow People: Set 1",136,2.892
"9586","1994","Mosquito",712,2.424
"9587","2003","Blue Gender",523,3.65
"9588","2004","Tying the Knot",159,3.044
"9589","2001","The Last Siege",5,2.516
"9590","1988","The Bear",173,3.665
"9591","2001","A Knight's Tale",794,3.506
"9592","1998","There's Something About Mary: Special Edition",177,3.867
"9593","1995","Friday",350,3.811
"9594","2003","NASCAR: Winston Cup 2003 Year in Review",74,3.258
"9595","1999","My Father,My Mother,My Brothers and My Sisters",12,2.793
"9596","1971","Straw Dogs",474,3.489
"9597","1965","War-Gods of the Deep",644,2.511
"9598","1979","Manhattan",223,3.84
"9599","2001","The Mind of the Married Man: Season 1",31,3.194
"9600","2004","Intermedio",67,1.808
"9601","1997","The Wedding Party",417,2.516
"9602","1981","Tower of Death",454,2.464
"9603","2005","Pink Floyd: Atom Heart Mother",783,3.085
"9604","1997","A Gun,a Car,a Blonde",674,2.171
"9605","2001","Armitage: Dual-Matrix",246,3.593
"9606","1980","Agatha Christie's The Mirror Crack'd",356,3.345
"9607","2003","Cromartie High School",277,3.344
"9608","1996","Love and Death on Long Island",415,3.138
"9609","1985","Sweet Dreams",583,3.698
"9610","1998","A Will of Their Own",599,3.056
"9611","1959","Anatomy of a Murder",231,3.947
"9612","1959","Destiny of a Man",642,3.571
"9613","1999","8MM",199,3.154
"9614","1979","Rocky II",301,3.659
"9615","1999","The Haunting of Hell House",82,2.48
"9616","2002","Barbie as Rapunzel",633,3.404
"9617","1998","Stepmom",21,3.522
"9618","2000","Mr. Bill's Classics",828,2.634
"9619","1962","The Lucy Show: The Lost Episodes Marathon: Vol. 1",82,3.641
"9620","1960","It Started in Naples",207,3.191
"9621","2000","Shaft",647,3.16
"9622","2001","Midsomer Murders: Tainted Fruit",199,4.016
"9623","2002","On the Edge",141,3.168
"9624","1988","21 Jump Street: Season 3",519,3.839
"9625","1940","The Grapes of Wrath",439,3.999
"9626","1989","Saved by the Bell: Season 2",148,3.595
"9627","1998","Fighter Jets and Attack Aircraft",39,2.63
"9628","1983","Star Wars: Episode VI: Return of the Jedi",200,4.461
"9629","2002","Stranded",214,3.278
"9630","1997","Teach Me Tonight",478,2.51
"9631","1922","Haxan: Witchcraft Through the Ages",356,3.016
"9632","2002","Danzig: Archive De La Morte",286,2.661
"9633","2003","The Matrix: Reloaded: Bonus Material",90,3.419
"9634","1976","Good Times: Season 4",618,3.884
"9635","1993","Cool Runnings",22,3.528
"9636","2004","Producing Adults",109,3.071
"9637","1996","Jerry Maguire: Bonus Material",51,3.672
"9638","1984","Country",857,3.488
"9639","1983","Psycho II",698,2.703
"9640","1951","Detective Story",870,3.344
"9641","1998","Alice Through the Looking Glass",184,2.762
"9642","2005","Bomb the System",718,2.655
"9643","1999","Selma Lord Selma",51,3.455
"9644","2002","Stargate SG-1: Season 6",639,4.363
"9645","2003","Daddy Day Care",443,3.361
"9646","1995","Sins of the Sisters",331,2.169
"9647","2002","Lisa Lampanelli: The Queen of Mean",480,3.191
"9648","1949","The Ealing Comedy Collection: Whisky Galore",813,3.525
"9649","2004","Ramones: Raw",667,3.395
"9650","1998","Since You've Been Gone",103,2.668
"9651","2001","Harold and the Purple Crayon: The Complete Series",242,3.529
"9652","2005","WWE: The Self-Destruction of the Ultimate Warrior",371,3.739
"9653","2003","My Flesh and Blood",266,3.845
"9654","1998","Very Bad Things",346,3.057
"9655","1976","Family Plot",535,3.196
"9656","1997","The Serpent's Kiss",221,2.628
"9657","1990","Ghost Dad",205,2.815
"9658","1994","Death Wish 5: The Face of Death",409,3.191
"9659","2004","Britney Spears: Greatest Hits: My Prerogative",324,3.418
"9660","2003","Stripperella: Season 1 (Uncensored)",58,2.926
"9661","1999","Bittersweet",639,2.422
"9662","2003","Angels in America",422,3.78
"9663","1995","Bushwhacked",847,3.184
"9664","1993","My My Mai",12,2.498
"9665","1993","Silk Stalkings: Season 3",110,3.49
"9666","1963","The Silence",133,3.722
"9667","1998","Silent Mobius: Vol. 3",337,3.347
"9668","1983","Le Dernier Combat",39,3
"9669","2002","Dragon Ball Z: Kid Buu Saga",233,3.944
"9670","1990","Robot Jox",111,2.767
"9671","2004","Britney Spears: In the Zone",324,3.291
"9672","2002","The Osbournes: Season 2 1/2",302,3.542
"9673","2001","The Weight of Water",555,2.909
"9674","1997","Night Flier",118,3.192
"9675","1998","Submitted for Your Approval: Rod Serling",669,3.14
"9676","1991","Red Green's: We Can't Help It -- We're Men",370,3.351
"9677","1979","The Black Hole",569,3.215
"9678","1988","Luther Vandross: Live at Wembley",76,3.73
"9679","1996","Harriet the Spy",423,3.243
"9680","1998","Hercules & Xena: Animated Movie",175,2.813
"9681","1994","Heavenly Creatures",322,3.563
"9682","1979","Cuba",260,2.657
"9683","2002","Rings",42,3.947
"9684","1996","Legend of Crystania: The Motion Picture",659,2.904
"9685","2000","28 Days",674,3.237
"9686","2004","Saints and Soldiers",700,3.705
"9687","2002","The Man Without a Past",95,3.22
"9688","2001","Dean Martin: That's Amore",70,3.449
"9689","1973","The Exorcist: Restored Version",112,3.97
"9690","1933","Duck Soup",797,3.87
"9691","2001","ECW: The Best of Cactus Jack",709,3.703
"9692","2001","Okie Noodling",116,3.455
"9693","1935","Werewolf of London",344,3.234
"9694","2003","Melvin Goes to Dinner",795,3.17
"9695","1998","A Cool,Dry Place",623,3.434
"9696","2000","Fart: The Movie",697,1.831
"9697","2001","Love in a Cold Climate",616,3.279
"9698","1991","Iron Maze",84,2.263
"9699","2003","The Snow Walker",173,3.606
"9700","1994","Virtual Combat",125,2.363
"9701","1995","Radiohead: 7 Television Commercials",50,3.913
"9702","1999","Tarzan",605,3.819
"9703","1928","The Farmer's Wife",552,2.506
"9704","1977","Soldier of Orange",243,3.438
"9705","1942","The Pride of the Yankees",254,3.906
"9706","2004","The Outskirts",274,2.627
"9707","1991","Scorpions: A Savage Crazy World",86,3.295
"9708","2000","Second Skin",669,2.544
"9709","1990","By Dawn's Early Light",19,3.471
"9710","1968","Stolen Kisses",385,3.494
"9711","1995","Lessons of Darkness",251,3.774
"9712","1964","A Shot in the Dark",693,3.804
"9713","1993","Blood In,Blood Out",171,3.867
"9714","2003","The Wiggles: Top of the Tots",318,3.299
"9715","1942","The Spoilers",59,3.424
"9716","1968","Therese and Isabelle",528,2.752
"9717","1970","Airport",71,3.366
"9718","2002","Never Again",25,3.077
"9719","2004","Ring of Darkness",314,1.891
"9720","1974","Yessongs: Yes",102,3.11
"9721","1995","Bloodfist 8: Hard Way Out",809,2.467
"9722","1958","Revenge of Frankenstein",25,3.366
"9723","2002","Great Lodges of the National Parks: Glacier Lodges / Pacific Northwest Lodges",316,3.385
"9724","1991","Harley Davidson and the Marlboro Man",829,2.987
"9725","2000","Brother",162,3.17
"9726","2000","The History Channel Presents: Pearl Harbor",161,3.355
"9727","2004","Kontroll",40,3.338
"9728","1997","As Good as It Gets",691,3.889
"9729","2002","Lost in La Mancha",64,3.327
"9730","1979","Clonus",297,2.298
"9731","1984","The Bounty",569,3.541
"9732","2000","Yes: House of Yes: Live from the House of Blues",161,3.418
"9733","1986","Down by Law",651,3.745
"9734","1938","Pygmalion",291,3.823
"9735","2003","Avril Lavigne: My World",34,3.27
"9736","2000","Miles Davis: Live in Montreal",450,3.016
"9737","2001","The Powerpuff Girls: Meet the Beat-Alls",82,3.591
"9738","1996","Bastard out of Carolina",127,3.429
"9739","2003","Lucy Must Be Traded,Charlie Brown",357,3.515
"9740","1988","Big Business",407,3.227
"9741","1999","The 13th Warrior",133,3.398
"9742","1945","The House on 92nd Street",467,3.062
"9743","2000","Photon: The Idiot Adventures",15,3.669
"9744","2001","Dust",852,2.362
"9745","2001","Deuces Wild",787,2.902
"9746","2001","Made",54,2.968
"9747","2005","Warm Springs",545,3.866
"9748","2000","Agent Red",488,2.406
"9749","1965","Doctor Zhivago: Bonus Material",373,3.59
"9750","1999","The Turn of the Screw",82,2.769
"9751","1999","The Prince of Central Park",254,2.947
"9752","2000","Dragon Inn",122,3.233
"9753","1997","Dry Cleaning",120,2.885
"9754","2001","Slashers",497,2.352
"9755","1999","Blood Dolls",171,2.444
"9756","2002","Mr. Deeds",736,3.292
"9757","1993","Homeward Bound: The Incredible Journey",161,3.682
"9758","1985","Colonel Redl",235,2.92
"9759","1998","Hush",648,3.354
"9760","1997","Caroline Myss,Ph.D.: Why People Don't Heal / Three Levels of Power",13,3.426
"9761","1967","The War Wagon",186,3.632
"9762","1987","Jaws: The Revenge",490,3.013
"9763","2000","Time of Favor",761,3.059
"9764","1986","War of the Shaolin Temple",48,2.72
"9765","2003","Erasure: Hits! The Videos",185,3.555
"9766","1984","George Carlin: Carlin on Campus",316,3.968
"9767","1980","Windwalker",788,3.512
"9768","2003","Basic",245,3.508
"9769","2001","Dead in the Water",237,2.512
"9770","1997","Operation Delta Force 3: Clear Target",495,3.005
"9771","2005","Black",802,4.003
"9772","1996","The Ogre",318,3.059
"9773","1997","A Kid in Aladdin's Palace",130,2.982
"9774","1992","Twin Peaks: Fire Walk With Me",124,3.411
"9775","2001","The Back Lot Murders",569,1.943
"9776","2000","Lost Souls",576,2.79
"9777","1941","The Superman Collection (Max Fleischer)",495,3.33
"9778","2002","2009 Lost Memories",303,3.107
"9779","2003","Michael Jackson: Number Ones",404,3.558
"9780","2001","Josie and the Pussycats",409,2.824
"9781","1998","Black & White",823,2.602
"9782","1970","McKenzie Break",589,2.937
"9783","1981","Falling in Love Again",426,2.241
"9784","1997","Men with Guns",801,3.615
"9785","1996","Beavis and Butt-head Do America",332,3.274
"9786","1998","Will & Grace: Season 2",726,4.041
"9787","1999","The Magical Legend of the Leprechauns",126,3.257
"9788","1998","Antz",477,3.528
"9789","2003","Sunset Story",263,3.357
"9790","2002","Quest for the True Cross",581,3
"9791","1998","2 Seconds",17,3.25
"9792","1980","Lucio Fulci: City of the Living Dead",123,3.085
"9793","2005","Vaada",838,3.107
"9794","1997","Sakura Wars",105,3.294
"9795","1985","Urusei Yatsura Movie 3: Remember My Love",826,2.99
"9796","1997","Breast Men",523,2.941
"9797","1967","Divorce American Style",246,2.863
"9798","1998","A Civil Action",113,3.51
"9799","1954","Comedy Noir Collection: Beat the Devil / That Uncertain Feeling",70,2.979
"9800","2001","Shallow Hal",105,3.25
"9801","1935","Anna Karenina",699,3.356
"9802","2004","Doobie Brothers: Rockin' Down the Highway: The Wildlife Concert",13,3.657
"9803","1937","James Cagney Collection: Something to Sing About / Blood on the Sun",201,2.882
"9804","1989","Legend of Lemnear",83,2.6
"9805","1961","The Absent-Minded Professor",88,3.726
"9806","1975","Bucktown",802,3.067
"9807","1982","Neil Young: In Berlin",652,3.414
"9808","1982","Prodigal Son",337,3.408
"9809","1964","Doctor Who: The Dalek Invasion of Earth",277,3.742
"9810","1917","Chaplin Mutuals: Vol. 1",337,3.58
"9811","1977","The Nutcracker (Baryshnikov)",51,3.723
"9812","1978","The Cheap Detective",612,2.981
"9813","1963","Youth of the Beast",134,3.55
"9814","2001","Balto 2: Wolf Quest",581,3.633
"9815","1992","Guns N' Roses: Use Your Illusion I",581,3.468
"9816","1999","Baadshah",838,2.936
"9817","1974","Juggernaut",190,3.074
"9818","1997","L.A. Confidential",572,3.941
"9819","1994","Macross Plus",712,3.855
"9820","1990","Berkeley in the Sixties",726,3.527
"9821","2003","Pulse",648,2.39
"9822","2000","Chasing Destiny",273,2.75
"9823","1997","Cadfael: The Raven in the Foregate",386,3.966
"9824","1994","Street Fighter II: Animated Movie",353,3.336
"9825","2003","Ancient Egyptians",699,3.608
"9826","1953","I Love Lucy: Season 3",74,4.094
"9827","2004","Frankenstein",151,2.472
"9828","1981","Stripes",333,3.858
"9829","1996","Styx: Return to Paradise",41,3.475
"9830","2004","The World of Narue",152,3.659
"9831","1971","Vanishing Point",522,3.392
"9832","2004","Globe Trekker: Paris",248,3
"9833","1990","Cyrano de Bergerac",715,3.835
"9834","1977","Hardware Wars",242,2.93
"9835","1962","The Beverly Hillbillies Vol. 2: 10 Classic Episodes",347,3.399
"9836","1961","The Twilight Zone: Vol. 35",326,4.091
"9837","1977","Amar Akbar Anthony",487,3.588
"9838","2002","CQ",297,2.876
"9839","1979","The Tempest",158,2.342
"9840","1997","Lynyrd Skynyrd: Lyve from Steel Town",201,3.261
"9841","2003","The Order",152,2.817
"9842","1995","Degree of Guilt",860,2.995
"9843","1979","Dallas: Season 3",856,3.778
"9844","1995","National Lampoon's Senior Trip",563,3.491
"9845","2002","SpongeBob SquarePants: Tales From the Deep",395,3.995
"9846","2004","Duran Duran: Arena",530,3.216
"9847","2004","Wild Things 2",272,2.685
"9848","2004","Unforgivable Blackness: The Rise and Fall of Jack Johnson",722,4.026
"9849","2000","Such a Long Journey",771,3.238
"9850","2004","The Dead Sea Scrolls",318,2.84
"9851","1959","Never So Few",25,3.17
"9852","2003","Indigo",236,2.884
"9853","2002","Chat Room",230,2.152
"9854","2002","Battle of the X-Planes: Nova",119,3.78
"9855","2004","The Ranch",379,2.638
"9856","2004","My Baby's Daddy",338,3.087
"9857","1939","Laurel & Hardy: Flying Deuces/Utopia",645,3.129
"9858","2005","Subzero",611,2.379
"9859","2002","Serving Sara",515,2.916
"9860","2002","Restless Souls",491,2.231
"9861","2003","Our Town",63,3.088
"9862","1988","Return to Snowy River",370,3.889
"9863","2000","The 6th Day",310,3.144
"9864","2004","Battlestar Galactica: Season 1",666,4.639
"9865","2003","Miracles: The Complete Series",368,3.57
"9866","1990","Campion: Dancers in Mourning",69,3.755
"9867","2002","Fairly Oddparents: Scary Godparents",765,3.497
"9868","2004","The Magic School Bus: Bugs,Bugs,Bugs!",553,3.866
"9869","1998","Occult History of the 3rd Reich #2: The SS Blood & Soil",798,2.921
"9870","2004","Dirty Filthy Love",405,3.033
"9871","2003","Curse of the Komodo",581,2.403
"9872","1998","MTV Unplugged: Ballads",12,2.558
"9873","1999","Lola & Billy the Kid",442,2.966
"9874","2001","Discovering France",522,3.115
"9875","2000","Innocence",211,2.926
"9876","2004","The Buried Secrets of M. Night Shyamalan",542,2.795
"9877","2004","Michael W. Smith: Live in Concert: A 20 Year Celebration",371,3.702
"9878","2001","Happy Accidents",638,3.229
"9879","1985","The Aviator",133,2.811
"9880","2004","Blood Angels",171,2.319
"9881","2004","America's Most Haunted Inns",71,2.141
"9882","1997","The Fifth Element",761,3.825
"9883","1988","Hades Project: Zeorymer",115,2.833
"9884","2001","John Waters Collection: Extras",331,3.174
"9885","2002","See How They Run",856,2.902
"9886","1999","Star Wars: Episode I: The Phantom Menace",200,3.604
"9887","1990","Moon 44",268,2.526
"9888","1989","Fat Man and Little Boy",751,3.533
"9889","1987","Heat",202,3.231
"9890","2002","National Geographic: Egypt Eternal: The Quest for Lost Tombs",154,3.432
"9891","1996","Three Musketeers (Animated)",528,2.378
"9892","2003","Lynyrd Skynyrd Lyve: The Vicious Cycle Tour",201,3.532
"9893","1998","Silent Mobius: Vol. 1",337,3.361
"9894","2004","Love on the Rocks",479,2.806
"9895","1994","Babel II: Perfect Collection",513,2.735
"9896","2002","Wild Australia: The Edge: IMAX",582,2.749
"9897","2002","Wolfhound",469,2.117
"9898","1920","Dr. Jekyll and Mr. Hyde",829,2.942
"9899","1994","China Moon",593,3.264
"9900","1994","Airheads",33,3.067
"9901","1997","Just Shoot Me: Seasons 1 & 2",457,3.447
"9902","1950","Winchester '73",78,3.635
"9903","1993","House Party 2",821,2.482
"9904","1992","The Barber of Seville: Rossini: Netherlands Opera",138,3.262
"9905","1959","Darby O'Gill and the Little People",713,3.775
"9906","2000","Dreamers",16,1.889
"9907","1971","Lawman",424,3.294
"9908","2005","Sometimes in April",385,3.966
"9909","2002","Friends: Season 9",167,4.329
"9910","1982","We'll Meet Again",795,3.041
"9911","2002","Wishmaster 4: The Prophecy Fulfilled",8,3.027
"9912","1981","All Night Long",760,2.523
"9913","2003","The Animatrix",375,3.592
"9914","1979","Crime & Punishment: The Complete Miniseries",531,2.667
"9915","2005","Tell Them Who You Are",358,2.602
"9916","1983","Something Wicked This Way Comes",29,3.424
"9917","2003","The Story of Marie and Julien",439,2.689
"9918","1998","Dentist 2: Brace Yourself",61,2.599
"9919","2001","Stanley: Spring Fever",353,3.196
"9920","1944","Superman Cartoons",190,3.082
"9921","2004","Everyday People",772,3.03
"9922","2005","VeggieTales: Minnesota Cuke",346,4.074
"9923","2000","Tenchi Universe",221,3.401
"9924","2001","Madeline's Best Manners",649,3.133
"9925","1987","Doctor Who: Remembrance of the Daleks",277,3.549
"9926","1997","8 Heads in a Duffel Bag",482,2.807
"9927","1986","Maximum Overdrive",839,2.834
"9928","2002","The Barber",447,2.563
"9929","1997","Buffy the Vampire Slayer: Season 1",324,4.076
"9930","1993","Working with Orson Welles",246,2.463
"9931","2004","Comedy Club Superstars",864,2.484
"9932","1964","It Happened Here",865,2.416
"9933","2001","The Runaway",579,3.064
"9934","2000","If I Die Before I Wake",541,2.393
"9935","1964","The Three Lives of Thomasina",531,3.651
"9936","1943","Heaven Can Wait",402,3.489
"9937","1983","Knight Rider: Season 2",519,3.689
"9938","2004","Brother to Brother",207,3.451
"9939","2005","Monster-in-Law",603,3.43
"9940","1968","Night of the Living Dead",10,3.546
"9941","1948","Sorrowful Jones / The Paleface: Double Feature",222,3.631
"9942","2004","The Hillz",675,1.892
"9943","2002","Common Ground",630,3.351
"9944","1998","Bloodsport 4",75,2.276
"9945","2001","Melissa Etheridge: Live ... and Alone",213,3.688
"9946","1995","Saturday Night Live: The Best of Will Ferrell",243,3.925
"9947","2001","American Legends",511,3.283
"9948","2003","Dangerous Living",178,3.065
"9949","1997","Jackie Chan's First Strike",518,3.55
"9950","1983","Flashdance",266,3.472
"9951","1997","The Last Don",149,3.388
"9952","1964","The Naked Kiss",101,3.196
"9953","1998","The Science of Magic",326,2.816
"9954","1948","Key Largo",515,3.938
"9955","1995","Heavy",249,3.091
"9956","2001","Carman: The Champion",98,2.86
"9957","1998","Wes Craven Presents: Don't Look Down",508,2.696
"9958","1947","Monsieur Verdoux",446,3.743
"9959","1997","The Man Who Knew Too Little",46,3.312
"9960","1988","Die Hard",621,4.016
"9961","2001","Monty Python Live!",267,4.051
"9962","1943","Titanic",355,3
"9963","1993","Daybreak",423,3
"9964","1964","Seven Days in May",225,3.85
"9965","2003","In Hell",624,3.039
"9966","1999","Better Than Chocolate",93,3.43
"9967","1971","The Organization",355,2.923
"9968","2002","Ice Age: Bonus Material",286,3.367
"9969","1998","Smokey Robinson: The Greatest Hits Live",391,2.888
"9970","2005","Aloha Scooby-Doo!",504,3.879
"9971","1999","Human Resources",249,3.203
"9972","1997","Into Thin Air: Death on Everest",410,2.877
"9973","2004","David Bowie: A Reality Tour",492,3.424
"9974","1997","Fathers' Day",746,2.895
"9975","2002","Rub & Tug",640,1.882
"9976","2003","Elmo's World: Elmo Has Two! Hands,Ears & Feet",13,3.614
"9977","1982","Honkytonk Man",673,3.139
"9978","2004","Balance Ball for Weight Loss",752,2.69
"9979","1975","The Hiding Place",173,4.21
"9980","2002","Copenhagen",297,3.341
"9981","1990","Twister",42,3.866
"9982","2000","Bear in the Big Blue House: Party Time With Bear!",31,3.435
"9983","2001","Murder on a Sunday Morning",357,3.764
"9984","1999","Saturday Night Live: The Best of Adam Sandler",243,3.71
"9985","1996","Foxfire",535,3.26
"9986","1985","After Hours",488,3.54
"9987","1983","Tender Mercies",307,3.689
"9988","1991","The Five Heartbeats",310,3.656
"9989","2001","Festival in Cannes",475,2.743
"9990","2004","A Panther in Africa: POV",582,3.358
"9991","2001","Waking Life",689,3.457
"9992","1989","Cat Chaser",292,2.434
"9993","2003","The Big O II",132,3.963
"9994","1982","Faerie Tale Theatre: The Tale of the Frog Prince",20,3.202
"9995","2005","The Girl in the Cafe",761,3.504
"9996","1995","Mighty Morphin Power Rangers: The Movie",397,3.067
"9997","1984","Oh God! You Devil!",116,3.435
"9998","1995","The Show",375,3.133
"9999","1986","Breeders",641,2.083
"10000","1995","Dr. Jekyll and Ms. Hyde",829,2.893
"10001","1994","Chef!: Series 2",225,3.822
"10002","1937","The Three Stooges: Dizzy Doctors",136,3.44
"10003","1981","Charlie Chan and the Curse of the Dragon Queen",153,2.481
"10004","1995","Ninja Scroll",445,4.209
"10005","2004","Typhoid Mary: The Most Dangerous Woman in America: Nova",222,3.243
"10006","1954","Target Earth",605,2.824
"10007","2000","Two Brothers",217,2.538
"10008","1984","Sharaabi",647,3.57
"10009","2000","All My Loved Ones",717,3.306
"10010","2004","Malevolence",649,2.398
"10011","2005","Lamb of God: Killadelphia",728,4.286
"10012","1989","Who's Harry Crumb?",142,3.117
"10013","1986","Peggy Sue Got Married",276,3.28
"10014","1989","The Shell Seekers",132,3.185
"10015","1990","Queen: Live at Wembley Stadium",114,3.816
"10016","2004","Key West: City of Colors",581,2.898
"10017","1996","The Journey of August King",177,2.98
"10018","1969","Z",878,3.654
"10019","2001","Metropolis",449,3.401
"10020","2000","Tom and Jerry's Greatest Chases",155,3.831
"10021","2001","Comedy's Dirtiest Dozen / Heavyweights Of Comedy",864,2.005
"10022","1994","Greedy",610,3.164
"10023","2000","Holiday Heart",493,3.654
"10024","1987","Hello Again",568,3.427
"10025","1995","Institute Benjamenta",662,3.153
"10026","2000","RPM",150,1.906
"10027","1982","Star Trek II: The Wrath of Khan",200,3.834
"10028","1976","Charlie's Angels: Season 1",22,2.973
"10029","1988","Watchers / Watchers II: Double Feature",13,3.084
"10030","2001","Hannibal: Bonus Material",104,2.795
"10031","1997","For Roseanna",708,3.277
"10032","1955","Diabolique",445,3.673
"10033","1991","Teenage Mutant Ninja Turtles II: The Secret of the Ooze",826,3.099
"10034","1999","Miss Julie",453,2.621
"10035","1989","Married... with Children: Season 4",70,4.031
"10036","2004","Chris Rock: Never Scared",473,3.828
"10037","1984","Swing Shift",258,3.239
"10038","1990","Lionheart",365,3.084
"10039","2000","Lady Audley's Secret",483,2.663
"10040","1992","Stay Tuned",498,2.913
"10041","1982","Cat People",336,3.089
"10042","1981","Raiders of the Lost Ark",336,4.504
"10043","1936","After the Thin Man",488,4.103
"10044","1995","To Wong Foo,Thanks for Everything! Julie Newmar",503,3.567
"10045","1980","Little Miss Marker",731,2.973
"10046","2002","The Backyard",569,2.37
"10047","1998","Cadfael: The Pilgrim of Hate",386,3.882
"10048","1972","T-Rex: Born to Boogie: Special Edition",561,3.331
"10049","1987","Easy Money",295,2.343
"10050","2005","The Nameless",158,2.703
"10051","1997","Cinderella",337,3.216
"10052","1992","Gas Food Lodging",316,3.169
"10053","1968","Oliver!",283,3.708
"10054","1996","Everything Relative",402,2.89
"10055","1996","Flirting with Disaster",350,3.359
"10056","2000","Dolphins: The Ultimate Guide",126,3.367
"10057","1996","The Titanic (Documentary)",355,3.077
"10058","2000","Directors: Clint Eastwood",246,3.011
"10059","2001","Hard as Nails",242,1.901
"10060","1993","Andrew Dice Clay: No Apologies",412,2.919
"10061","2003","Smallville: Season 3",124,4.27
"10062","1999","Dai-Guard",56,3.412
"10063","1985","Transformers: Season 2: Part I",315,3.835
"10064","2004","Godzilla: The Series: Monster Wars Trilogy",371,3.045
"10065","2005","Nina's Tragedies",700,3.144
"10066","1974","The Lords of Flatbush",310,2.91
"10067","1957","Gumby",837,3.235
"10068","1987","Jem & The Holograms: Season 3: Part 1",222,3.685
"10069","1978","Perceval",344,2.364
"10070","1995","The Convent",59,2.016
"10071","2005","Michael Palin: Himalaya",6,4.013
"10072","2004","Prime Suspect 6",440,4.231
"10073","1996","In Love and War",363,3.241
"10074","1966","Superman the Animated Series: Vol. 1",190,3.968
"10075","2002","Deathbed",36,2.095
"10076","2004","WWE: John Cena: Word Life",210,3.595
"10077","1948","The Snake Pit",59,3.791
"10078","1993","Indecent Proposal",449,3.221
"10079","2004","Case Closed: Season 4",450,3.999
"10080","2001","Six Feet Under: Season 2",519,4.426
"10081","2004","Reconstruction: The Second Civil War: American Experience",879,3.465
"10082","2004","Soul Plane",497,2.667
"10083","1979","The Electric Horseman",448,3.235
"10084","1936","Mr. Deeds Goes to Town",736,3.84
"10085","2002","Zus & Zo",640,2.928
"10086","1988","Jimmy Doolittle: An American Hero",422,3.274
"10087","1997","Dr. Quinn,Medicine Woman: Season 6",184,3.672
"10088","2000","Clerks: Uncensored",485,3.871
"10089","1999","Soccer Dog",474,2.902
"10090","1992","As Time Goes By: Series 4",415,4.082
"10091","1998","Tokyo Eyes",301,2.68
"10092","1991","Inspector Morse 20: Promised Land",665,4.011
"10093","2000","Time Lapse",429,2.364
"10094","1999","Angela's Ashes",810,3.546
"10095","2000","Dawson's Creek: Season 4",208,3.888
"10096","1998","Last Days",746,3.81
"10097","2004","Dude,Where's the Party?",780,2.59
"10098","2002","Love in the Time of Money",161,2.378
"10099","1938","Room Service / At the Circus",444,3.936
"10100","1993","Flesh and Bone",237,2.906
"10101","1994","Above the Rim",479,3.611
